ensembl_gene_id,external_gene_name,gene_age,gene_Interval,gene_branch
FBGN0283500,SAC1,1488,1480-1496,5
FBGN0250753,KRA,987,952-1023,8
FBGN0030504,CG2691,1714,1660-1768,3
FBGN0032051,CG13097,1714,1660-1768,3
FBGN0040367,CG11382,91,50-132,23
FBGN0040357,CG14624,91,50-132,23
FBGN0029568,CG11381,91,50-132,23
FBGN0040358,CG14625,91,50-132,23
FBGN0040360,CG14626,91,50-132,23
FBGN0040361,CG14627,202,132-272,22
FBGN0040364,CG11378,419,358-480,18
FBGN0038708,SCSALPHA2,91,50-132,23
FBGN0040398,CG14629,419,358-480,18
FBGN0053082,CG33082,91,50-132,23
FBGN0040350,CG3690,419,358-480,18
FBGN0031023,CG14200,91,50-132,23
FBGN0031042,CG14221,91,50-132,23
FBGN0031045,CG14212,91,50-132,23
FBGN0030266,CG11122,291,272-310,21
FBGN0030763,CG9782,202,132-272,22
FBGN0030593,CG9512,202,132-272,22
FBGN0030594,FIZ,202,132-272,22
FBGN0030595,CG14406,43,37-50,24
FBGN0052591,CG32591,91,50-132,23
FBGN0038266,CG3610,91,50-132,23
FBGN0040385,CG12496,202,132-272,22
FBGN0030320,CG2247,91,50-132,23
FBGN0025838,CG2652,91,50-132,23
FBGN0027259,KMN1,91,50-132,23
FBGN0003575,SU(SABLE),341,325-358,19
FBGN0001341,MYBBP1A,91,50-132,23
FBGN0031219,CG13694,91,50-132,23
FBGN0025620,CG13360,202,132-272,22
FBGN0030787,CG9609,202,132-272,22
FBGN0052574,TWDLALPHA,202,132-272,22
FBGN0052569,TWDLZ,91,50-132,23
FBGN0052570,TWDLY,91,50-132,23
FBGN0052571,TWDLX,91,50-132,23
FBGN0052572,CG32572,91,50-132,23
FBGN0085354,CG34325,317,310-325,20
FBGN0030780,CG13008,202,132-272,22
FBGN0029867,CG3847,202,132-272,22
FBGN0029866,CG3842,202,132-272,22
FBGN0052594,BE,291,272-310,21
FBGN0040106,LECTIN-21CB,43,37-50,24
FBGN0031373,CG15358,43,37-50,24
FBGN0040104,LECTIN-24A,43,37-50,24
FBGN0015583,ACP29AB,43,37-50,24
FBGN0040097,LECTIN-30A,43,37-50,24
FBGN0031273,CG2839,43,37-50,24
FBGN0040098,LECTIN-29CA,43,37-50,24
FBGN0040107,LECTIN-21CA,43,37-50,24
FBGN0040102,LECTIN-24DB,202,132-272,22
FBGN0031910,CG15818,202,132-272,22
FBGN0030189,CG2909,419,358-480,18
FBGN0011280,OBP19D,202,132-272,22
FBGN0031111,OBP19C,91,50-132,23
FBGN0031110,OBP19B,202,132-272,22
FBGN0040651,CG15458,91,50-132,23
FBGN0030103,OBP8A,43,37-50,24
FBGN0030105,CG15369,202,132-272,22
FBGN0030102,SMYDA-9,202,132-272,22
FBGN0029726,CG15471,91,50-132,23
FBGN0029730,BOIL,202,132-272,22
FBGN0052573,CG32573,91,50-132,23
FBGN0051609,CG31609,91,50-132,23
FBGN0029659,CG16782,91,50-132,23
FBGN0030137,CG15317,91,50-132,23
FBGN0054028,CG34028,202,132-272,22
FBGN0034904,CG15800,43,37-50,24
FBGN0030794,CG13005,202,132-272,22
FBGN0010303,HEP,43,37-50,24
FBGN0030675,CG8191,91,50-132,23
FBGN0030666,CG12708,202,132-272,22
FBGN0030665,CG15646,202,132-272,22
FBGN0029770,CG4151,91,50-132,23
FBGN0000719,FOG,91,50-132,23
FBGN0052762,CG32762,43,37-50,24
FBGN0029769,FRMA,419,358-480,18
FBGN0029766,CG15784,43,37-50,24
FBGN0029765,CG16756,341,325-358,19
FBGN0029716,CG3546,91,50-132,23
FBGN0052712,CG32712,91,50-132,23
FBGN0052521,CG32521,91,50-132,23
FBGN0039897,CG1674,91,50-132,23
FBGN0034942,CG13566,91,50-132,23
FBGN0032965,CG11629,91,50-132,23
FBGN0058439,CG40439,291,272-310,21
FBGN0024943,PIP82,91,50-132,23
FBGN0030807,CG13000,43,37-50,24
FBGN0030804,CG13002,202,132-272,22
FBGN0030803,CG4880,291,272-310,21
FBGN0030797,CG13004,202,132-272,22
FBGN0032111,CG13110,202,132-272,22
FBGN0032193,CG5727,91,50-132,23
FBGN0039482,CG14258,317,310-325,20
FBGN0039483,CG14259,317,310-325,20
FBGN0039923,MED26,291,272-310,21
FBGN0030440,CG15719,91,50-132,23
FBGN0039329,CG10669,202,132-272,22
FBGN0030716,CG9170,419,358-480,18
FBGN0040942,CG12643,91,50-132,23
FBGN0084001,CG41434,91,50-132,23
FBGN0033195,CG1360,91,50-132,23
FBGN0035519,CG1309,1488,1480-1496,5
FBGN0024811,CRK,886,824-948,10
FBGN0040298,MYT1,>4290,>4290,0
FBGN0034814,CG9890,1488,1480-1496,5
FBGN0033699,RPS11,>4290,>4290,0
FBGN0035703,CG8270,1488,1480-1496,5
FBGN0003189,R,>4290,>4290,0
FBGN0051139,CG31139,987,952-1023,8
FBGN0086253,RUMI,987,952-1023,8
FBGN0030687,CG17209,>4290,>4290,0
FBGN0032420,CG6583,775,753-797,12
FBGN0031260,SPP,>4290,>4290,0
FBGN0035909,ERGIC53,987,952-1023,8
FBGN0036222,SDHAL,419,358-480,18
FBGN0086779,STEP,>4290,>4290,0
FBGN0032388,CG6686,950,948-952,9
FBGN0036662,CG9706,1488,1480-1496,5
FBGN0031604,ELP3,>4290,>4290,0
FBGN0030674,CG8184,202,132-272,22
FBGN0031673,CG31650,987,952-1023,8
FBGN0001216,HSC70-1,202,132-272,22
FBGN0266599,HSC70-4,>4290,>4290,0
FBGN0035677,CG13293,950,948-952,9
FBGN0035588,CG10672,1488,1480-1496,5
FBGN0038247,CAD88C,810,797-824,11
FBGN0030789,RRP45,1714,1660-1768,3
FBGN0038834,RPS30,1064,1023-1105,7
FBGN0004623,GBETA76C,556,530-583,16
FBGN0000382,CSW,987,952-1023,8
FBGN0000114,BRU1,987,952-1023,8
FBGN0262475,BRU2,987,952-1023,8
FBGN0035901,CG6745,>4290,>4290,0
FBGN0004648,SVR,987,952-1023,8
FBGN0029756,CG3309,1714,1660-1768,3
FBGN0038279,SDR,987,952-1023,8
FBGN0039631,SIRT7,950,948-952,9
FBGN0023531,CG32809,775,753-797,12
FBGN0036446,CG9384,950,948-952,9
FBGN0014020,RHO1,1488,1480-1496,5
FBGN0038271,UQCR-C1,987,952-1023,8
FBGN0270925,CG4836,1488,1480-1496,5
FBGN0027082,PRORS-M,1488,1480-1496,5
FBGN0053094,SYND,1064,1023-1105,7
FBGN0032447,PICK1,987,952-1023,8
FBGN0037021,CG11399,810,797-824,11
FBGN0038397,CG10185,775,753-797,12
FBGN0037780,OHGT,987,952-1023,8
FBGN0034585,RBPN-5,22,11-34,26
FBGN0033741,CG8545,>4290,>4290,0
FBGN0259985,MPPE,886,824-948,10
FBGN0052495,GSS2,>4290,>4290,0
FBGN0030882,GSS1,>4290,>4290,0
FBGN0000996,DUP,987,952-1023,8
FBGN0035026,FCP1,1488,1480-1496,5
FBGN0032717,CG10600,987,952-1023,8
FBGN0041171,AGO,1488,1480-1496,5
FBGN0030584,CG14407,>4290,>4290,0
FBGN0003218,RDGB,1064,1023-1105,7
FBGN0266669,SEC3,1488,1480-1496,5
FBGN0033911,VGAT,886,824-948,10
FBGN0003483,SPN-E,1292,1105-1480,6
FBGN0003071,PFK,1292,1105-1480,6
FBGN0034304,CG5742,1488,1480-1496,5
FBGN0030081,CG7246,>4290,>4290,0
FBGN0038170,CG14367,987,952-1023,8
FBGN0024555,FLFL,1488,1480-1496,5
FBGN0038829,CG17271,950,948-952,9
FBGN0036568,ATPSYNBETAL,202,132-272,22
FBGN0033166,EAF,987,952-1023,8
FBGN0023416,AC3,886,824-948,10
FBGN0030330,TANGO10,987,952-1023,8
FBGN0035252,CG7970,419,358-480,18
FBGN0034258,EIF3C,1714,1660-1768,3
FBGN0039857,RPL6,1714,1660-1768,3
FBGN0013343,SYX1A,1488,1480-1496,5
FBGN0039969,FIS1,886,824-948,10
FBGN0022786,HIRA,1934,1768-2101,2
FBGN0011754,PHKGAMMA,1488,1480-1496,5
FBGN0030976,CG7378,886,824-948,10
FBGN0032052,PIG-U,1488,1480-1496,5
FBGN0259986,NAB,886,824-948,10
FBGN0027611,LMANII,1064,1023-1105,7
FBGN0032067,LMANIV,1064,1023-1105,7
FBGN0032253,LMANI,1064,1023-1105,7
FBGN0032069,LMANVI,1064,1023-1105,7
FBGN0032066,LMANIII,1064,1023-1105,7
FBGN0032068,LMANV,1064,1023-1105,7
FBGN0260462,CG12163,1488,1480-1496,5
FBGN0003068,PER,810,797-824,11
FBGN0037473,CG10068,987,952-1023,8
FBGN0036187,RIOK1,>4290,>4290,0
FBGN0010488,NAT1,987,952-1023,8
FBGN0032859,ARPC2,1488,1480-1496,5
FBGN0032484,KEK4,91,50-132,23
FBGN0033250,CG14762,748,743-753,13
FBGN0003415,SKD,987,952-1023,8
FBGN0033246,ACC,950,948-952,9
FBGN0038571,CG7215,419,358-480,18
FBGN0032881,CG9319,1292,1105-1480,6
FBGN0051183,CG31183,950,948-952,9
FBGN0039013,CG4813,556,530-583,16
FBGN0041156,EXEX,950,948-952,9
FBGN0051323,CG31323,91,50-132,23
FBGN0033528,TRSN,1488,1480-1496,5
FBGN0034735,CG4610,1488,1480-1496,5
FBGN0027565,CG5498,1488,1480-1496,5
FBGN0035154,HIRO,1488,1480-1496,5
FBGN0051821,CG31821,91,50-132,23
FBGN0051823,CG31823,1488,1480-1496,5
FBGN0052483,CG32483,1488,1480-1496,5
FBGN0034494,CG10444,886,824-948,10
FBGN0052669,CG32669,886,824-948,10
FBGN0033816,CG4679,987,952-1023,8
FBGN0050043,CG30043,987,952-1023,8
FBGN0034436,CG11961,987,952-1023,8
FBGN0050049,CG30049,987,952-1023,8
FBGN0034441,CG10081,987,952-1023,8
FBGN0034438,CG9416,987,952-1023,8
FBGN0033720,CG13160,987,952-1023,8
FBGN0034440,CG10073,987,952-1023,8
FBGN0034437,CG10051,987,952-1023,8
FBGN0050047,CG30047,987,952-1023,8
FBGN0053012,CG33012,987,952-1023,8
FBGN0034439,CG10062,987,952-1023,8
FBGN0037153,OLF413,987,952-1023,8
FBGN0000233,BTD,291,272-310,21
FBGN0010424,TPNC73F,987,952-1023,8
FBGN0010423,TPNC47D,43,37-50,24
FBGN0051213,CG31213,1064,1023-1105,7
FBGN0000032,ACPH-1,1714,1660-1768,3
FBGN0032707,CG10348,775,753-797,12
FBGN0038735,CG4662,1064,1023-1105,7
FBGN0032101,CG9586,987,952-1023,8
FBGN0035285,CG12025,556,530-583,16
FBGN0004103,PP1-87B,950,948-952,9
FBGN0003132,PP1-13C,950,948-952,9
FBGN0025807,RAD9,1714,1660-1768,3
FBGN0026059,MHCL,987,952-1023,8
FBGN0015239,HR78,810,797-824,11
FBGN0033257,SAND,987,952-1023,8
FBGN0031089,CG9572,556,530-583,16
FBGN0029962,CG1402,950,948-952,9
FBGN0034484,CG11044,775,753-797,12
FBGN0040805,CG12355,556,530-583,16
FBGN0051721,TRIM9,1488,1480-1496,5
FBGN0035649,CG10483,886,824-948,10
FBGN0030890,CG7536,886,824-948,10
FBGN0263109,CG43366,592,583-601,15
FBGN0043005,PRT,810,797-824,11
FBGN0032042,CG13398,810,797-824,11
FBGN0030616,RPL37A,775,753-797,12
FBGN0034822,RPL37B,35,34-37,25
FBGN0003390,SHF,748,743-753,13
FBGN0015351,CG14906,987,952-1023,8
FBGN0026317,TSC1,987,952-1023,8
FBGN0038281,RPL10AA,35,34-37,25
FBGN0013749,ARF102F,987,952-1023,8
FBGN0040973,CG16824,748,743-753,13
FBGN0026879,CG13364,748,743-753,13
FBGN0011725,TWIN,987,952-1023,8
FBGN0039265,CG11790,810,797-824,11
FBGN0035687,PRDM13,950,948-952,9
FBGN0267977,MH,987,952-1023,8
FBGN0034182,SMYDA-7,950,948-952,9
FBGN0038869,SMYD5,950,948-952,9
FBGN0286203,STW,505,480-530,17
FBGN0265274,INX3,775,753-797,12
FBGN0032876,CEN,556,530-583,16
FBGN0034098,KRIMP,317,310-325,20
FBGN0027616,YTHDC1,886,824-948,10
FBGN0040666,CG12848,556,530-583,16
FBGN0027583,CG7601,91,50-132,23
FBGN0038584,MTERF5,592,583-601,15
FBGN0260407,MRPS23,810,797-824,11
FBGN0028473,NON1,>4290,>4290,0
FBGN0015544,SPAG,91,50-132,23
FBGN0260386,MTG,505,480-530,17
FBGN0031799,PEZ,987,952-1023,8
FBGN0034957,CG3121,987,952-1023,8
FBGN0050338,CG30338,987,952-1023,8
FBGN0036214,CG7264,505,480-530,17
FBGN0039078,CG4374,556,530-583,16
FBGN0033010,ATF6,886,824-948,10
FBGN0000061,AL,3,0-6,28
FBGN0029121,SRAS,>4290,>4290,0
FBGN0036323,CG14118,592,583-601,15
FBGN0036831,CG6839,592,583-601,15
FBGN0036321,CG14120,592,583-601,15
FBGN0036833,CG3819,592,583-601,15
FBGN0038570,PRX5,556,530-583,16
FBGN0038376,HMT-1,1488,1480-1496,5
FBGN0026403,NDG,556,530-583,16
FBGN0052280,CG32280,556,530-583,16
FBGN0052369,CG32369,1292,1105-1480,6
FBGN0031573,CG3407,775,753-797,12
FBGN0263490,MLD,202,132-272,22
FBGN0035702,CG10147,291,272-310,21
FBGN0035934,TRPA1,987,952-1023,8
FBGN0031495,GABPI,>4290,>4290,0
FBGN0053198,PEN-2,987,952-1023,8
FBGN0063261,CG31275,202,132-272,22
FBGN0038465,IRC,291,272-310,21
FBGN0038472,CG3995,91,50-132,23
FBGN0037836,CG14692,202,132-272,22
FBGN0261356,CG42633,202,132-272,22
FBGN0260229,MOCS2A,91,50-132,23
FBGN0039266,CG11791,91,50-132,23
FBGN0039202,CG13622,91,50-132,23
FBGN0039199,CG13615,91,50-132,23
FBGN0039197,CG17780,202,132-272,22
FBGN0039194,CG13614,91,50-132,23
FBGN0053341,CG33341,91,50-132,23
FBGN0053340,CG33340,202,132-272,22
FBGN0039186,CG5746,202,132-272,22
FBGN0040606,CG6503,91,50-132,23
FBGN0264472,CG43880,43,37-50,24
FBGN0083966,CG34130,91,50-132,23
FBGN0051086,CG31086,672,601-743,14
FBGN0051324,CG31324,91,50-132,23
FBGN0061196,CG15468,91,50-132,23
FBGN0039413,CG14556,91,50-132,23
FBGN0002632,E(SPL)M6-BFM,91,50-132,23
FBGN0002629,E(SPL)M4-BFM,202,132-272,22
FBGN0002592,E(SPL)M2-BFM,91,50-132,23
FBGN0002578,KAZ-M1,202,132-272,22
FBGN0002732,E(SPL)MALPHA-BFM,91,50-132,23
FBGN0039398,CG14540,202,132-272,22
FBGN0039395,CG14546,91,50-132,23
FBGN0052719,CG32719,91,50-132,23
FBGN0038589,CG18598,202,132-272,22
FBGN0038859,OBP93A,91,50-132,23
FBGN0000166,BCD,202,132-272,22
FBGN0052440,CG32440,91,50-132,23
FBGN0024912,AGT,202,132-272,22
FBGN0037456,CG1138,91,50-132,23
FBGN0037455,CG2336,202,132-272,22
FBGN0037454,CG1137,202,132-272,22
FBGN0027514,CG1024,202,132-272,22
FBGN0085454,CG34425,91,50-132,23
FBGN0052945,CG32945,91,50-132,23
FBGN0037261,CG9775,202,132-272,22
FBGN0085305,CG34276,43,37-50,24
FBGN0038386,CG5478,91,50-132,23
FBGN0038388,CG4287,202,132-272,22
FBGN0052856,CG32856,91,50-132,23
FBGN0038548,CG17806,91,50-132,23
FBGN0042205,CG18764,91,50-132,23
FBGN0051360,CG31360,91,50-132,23
FBGN0038291,CG3984,202,132-272,22
FBGN0038292,CG3987,202,132-272,22
FBGN0054026,CG34026,202,132-272,22
FBGN0050413,CG30413,91,50-132,23
FBGN0039346,CG5079,91,50-132,23
FBGN0051547,NKCC,886,824-948,10
FBGN0040466,DLIP2,202,132-272,22
FBGN0037320,CG14668,43,37-50,24
FBGN0037317,CG14667,43,37-50,24
FBGN0037304,CG1113,202,132-272,22
FBGN0037294,CG12590,91,50-132,23
FBGN0010313,CORTO,419,358-480,18
FBGN0037291,CG14662,91,50-132,23
FBGN0020280,LAF,91,50-132,23
FBGN0037283,CG14658,43,37-50,24
FBGN0037282,CG14657,91,50-132,23
FBGN0036395,CG17361,43,37-50,24
FBGN0014022,RLB1,202,132-272,22
FBGN0037700,CG8149,419,358-480,18
FBGN0038425,CG14881,419,358-480,18
FBGN0051279,CG31279,202,132-272,22
FBGN0038423,CG10317,91,50-132,23
FBGN0259917,CG42446,43,37-50,24
FBGN0038421,CG17931,291,272-310,21
FBGN0038419,CG14879,202,132-272,22
FBGN0020399,MST89B,43,37-50,24
FBGN0037976,TK,202,132-272,22
FBGN0051358,CG31358,202,132-272,22
FBGN0037986,CG14736,202,132-272,22
FBGN0037985,SSP5,91,50-132,23
FBGN0037987,CG14739,91,50-132,23
FBGN0038001,CG17404,419,358-480,18
FBGN0038002,CG12256,419,358-480,18
FBGN0038003,CG3916,419,358-480,18
FBGN0011270,PGLYM87,91,50-132,23
FBGN0038009,CG17738,43,37-50,24
FBGN0038012,CG10013,91,50-132,23
FBGN0003015,OSK,202,132-272,22
FBGN0040532,CG8369,202,132-272,22
FBGN0037589,OBP85A,202,132-272,22
FBGN0040531,CG11741,91,50-132,23
FBGN0040602,CG14545,91,50-132,23
FBGN0039374,CG17770,91,50-132,23
FBGN0039356,CG5039,91,50-132,23
FBGN0027508,TNKS,202,132-272,22
FBGN0031483,CG9641,43,37-50,24
FBGN0039350,JIGR1,91,50-132,23
FBGN0038530,ATTD,202,132-272,22
FBGN0038529,CG14323,91,50-132,23
FBGN0038528,CG14326,91,50-132,23
FBGN0038526,CG14327,91,50-132,23
FBGN0038525,CG14329,202,132-272,22
FBGN0051661,CG31661,91,50-132,23
FBGN0038505,CG17283,91,50-132,23
FBGN0051926,CG31926,91,50-132,23
FBGN0051928,CG31928,91,50-132,23
FBGN0011822,PGCL,91,50-132,23
FBGN0038507,CG5863,91,50-132,23
FBGN0037697,GSTZ2,1714,1660-1768,3
FBGN0037696,GSTZ1,1714,1660-1768,3
FBGN0086368,TW,1292,1105-1480,6
FBGN0032208,UFD4,1488,1480-1496,5
FBGN0052412,QC,1488,1480-1496,5
FBGN0036154,CG6168,43,37-50,24
FBGN0052413,CG32413,1488,1480-1496,5
FBGN0036999,ISOQC,1488,1480-1496,5
FBGN0023510,RBCN-3B,>4290,>4290,0
FBGN0085451,HTK,987,952-1023,8
FBGN0034691,SYNJ,1488,1480-1496,5
FBGN0264562,HR4,672,601-743,14
FBGN0041092,TAI,775,753-797,12
FBGN0003392,SHI,1488,1480-1496,5
FBGN0020887,SU(Z)12,1292,1105-1480,6
FBGN0038053,CG18549,1488,1480-1496,5
FBGN0011824,CG4038,>4290,>4290,0
FBGN0027539,LILI,987,952-1023,8
FBGN0031106,SYX16,1714,1660-1768,3
FBGN0264978,SLH,>4290,>4290,0
FBGN0001296,KAR,950,948-952,9
FBGN0039937,FD102C,886,824-948,10
FBGN0031169,CG1494,43,37-50,24
FBGN0027610,DIC1,1064,1023-1105,7
