ensembl_gene_id,external_gene_name,gene_age,gene_Interval,gene_branch
ENSGALG00000017125,MICU2,1714,1660-1768,3
ENSGALG00000043929,,1714,1660-1768,3
ENSGALG00000038065,SLC8A2,950,948-952,9
ENSGALG00000012997,DNAH5,987,952-1023,8
ENSGALG00000013060,ADCY2,987,952-1023,8
ENSGALG00000013061,PAPD7,645,615-676,14
ENSGALG00000035050,,680,676-684,13
ENSGALG00000045953,,680,676-684,13
ENSGALG00000047009,,680,676-684,13
ENSGALG00000030991,IRX1,645,615-676,14
ENSGALG00000013193,IRX2,645,615-676,14
ENSGALG00000022896,IRX4,645,615-676,14
ENSGALG00000013189,LPCAT1,645,615-676,14
ENSGALG00000042454,DCDC2,544,473-615,15
ENSGALG00000037811,NRSN1,645,615-676,14
ENSGALG00000008976,ADAM22,645,615-676,14
ENSGALG00000009035,GTPBP10,950,948-952,9
ENSGALG00000042840,OSGIN2,645,615-676,14
ENSGALG00000037686,NBN,987,952-1023,8
ENSGALG00000028118,MSMP,332,312-352,19
ENSGALG00000026039,THEM4,454,435-473,16
ENSGALG00000002707,CHRNB2,645,615-676,14
ENSGALG00000039775,SHC1,454,435-473,16
ENSGALG00000027700,FLAD1,>4290,>4290,0
ENSGALG00000054637,,18,0-37,29
ENSGALG00000024272,S100A12,332,312-352,19
ENSGALG00000021475,ADAR,987,952-1023,8
ENSGALG00000037441,,18,0-37,29
ENSGALG00000051812,,18,0-37,29
ENSGALG00000028880,FDPS,>4290,>4290,0
ENSGALG00000046464,RUSC1,645,615-676,14
ENSGALG00000019796,DAP3,1714,1660-1768,3
ENSGALG00000031002,,987,952-1023,8
ENSGALG00000049491,,18,0-37,29
ENSGALG00000047532,,18,0-37,29
ENSGALG00000052515,POLR3C,1714,1660-1768,3
ENSGALG00000050728,,18,0-37,29
ENSGALG00000052423,,18,0-37,29
ENSGALG00000047775,,18,0-37,29
ENSGALG00000053884,,63,47-80,26
ENSGALG00000028205,PRPF3,1714,1660-1768,3
ENSGALG00000043416,,174,111-237,23
ENSGALG00000003985,TARSL2,332,312-352,19
ENSGALG00000004525,TSPAN10,544,473-615,15
ENSGALG00000025735,PDE6H,645,615-676,14
ENSGALG00000004505,CCDC137,544,473-615,15
ENSGALG00000007791,OTOP2,886,824-948,10
ENSGALG00000011391,AMN,950,948-952,9
ENSGALG00000027786,SOCS3,544,473-615,15
ENSGALG00000007093,CYTH1,>4290,>4290,0
ENSGALG00000037018,USP36,645,615-676,14
ENSGALG00000027070,TIMP2,950,948-952,9
ENSGALG00000043607,CENPX,645,615-676,14
ENSGALG00000039269,RNF213,680,676-684,13
ENSGALG00000004418,SSTR2,454,435-473,16
ENSGALG00000029817,USP22,>4290,>4290,0
ENSGALG00000031214,MED9,645,615-676,14
ENSGALG00000005263,SOX8,950,948-952,9
ENSGALG00000032418,RAB26,645,615-676,14
ENSGALG00000003819,,645,615-676,14
ENSGALG00000054943,,645,615-676,14
ENSGALG00000009288,RNPS1,987,952-1023,8
ENSGALG00000043209,ADGRB2,544,473-615,15
ENSGALG00000049402,,987,952-1023,8
ENSGALG00000030545,SLC35D3,1578,1496-1660,4
ENSGALG00000013874,PEX7,1714,1660-1768,3
ENSGALG00000034716,HEY2,987,952-1023,8
ENSGALG00000008233,BUB1,1578,1496-1660,4
ENSGALG00000015897,IMPG1,645,615-676,14
ENSGALG00000015901,SENP6,886,824-948,10
ENSGALG00000007186,TMEM268,454,435-473,16
ENSGALG00000035499,SKIV2L,1934,1768-2101,2
ENSGALG00000045676,NELFE,63,47-80,26
ENSGALG00000032400,UTP23,>4290,>4290,0
ENSGALG00000029523,RAD21,680,676-684,13
ENSGALG00000034377,SLC30A8,>4290,>4290,0
ENSGALG00000030862,MED30,950,948-952,9
ENSGALG00000039013,EXT1,645,615-676,14
ENSGALG00000029664,SAMD12,680,676-684,13
ENSGALG00000041043,ABRA,645,615-676,14
ENSGALG00000029983,ANGPT1,645,615-676,14
ENSGALG00000040026,,645,615-676,14
ENSGALG00000012687,TPMT,987,952-1023,8
ENSGALG00000043829,,987,952-1023,8
ENSGALG00000051412,PEA15,44,42-47,27
ENSGALG00000010571,HEATR5B,1578,1496-1660,4
ENSGALG00000010580,STRN,1488,1480-1496,5
ENSGALG00000010583,VIT,645,615-676,14
ENSGALG00000047357,,544,473-615,15
ENSGALG00000010620,SPAST,1714,1660-1768,3
ENSGALG00000010624,MEMO1,>4290,>4290,0
ENSGALG00000011865,SMTN,382,352-413,18
ENSGALG00000008037,HORMAD2,332,312-352,19
ENSGALG00000039084,EVI2A,382,352-413,18
ENSGALG00000015166,GCNT1,987,952-1023,8
ENSGALG00000035901,GDF6,18,0-37,29
ENSGALG00000006597,DZIP1L,680,676-684,13
ENSGALG00000006600,A4GNT,544,473-615,15
ENSGALG00000002870,LEMD2,544,473-615,15
ENSGALG00000024077,,645,615-676,14
ENSGALG00000015133,GPR15,454,435-473,16
ENSGALG00000009864,TRAF5,987,952-1023,8
ENSGALG00000023933,G0S2,544,473-615,15
ENSGALG00000001343,LAMB3,544,473-615,15
ENSGALG00000006031,BRDT,1578,1496-1660,4
ENSGALG00000042482,RAB5B,544,473-615,15
ENSGALG00000037941,ZC3H10,886,824-948,10
ENSGALG00000029450,UBE2Q1,>4290,>4290,0
ENSGALG00000030554,KCNN3,810,797-824,11
ENSGALG00000050763,PBXIP1,18,0-37,29
ENSGALG00000014647,RIT1,454,435-473,16
ENSGALG00000028560,OC3,104,98-111,24
ENSGALG00000051918,TTC24,39,37-42,28
ENSGALG00000030994,MRPL24,>4290,>4290,0
ENSGALG00000044505,,382,352-413,18
ENSGALG00000013253,INSRR,454,435-473,16
ENSGALG00000052868,,18,0-37,29
ENSGALG00000028622,,18,0-37,29
ENSGALG00000036751,,18,0-37,29
ENSGALG00000027138,,382,352-413,18
ENSGALG00000000669,ETV3,424,413-435,17
ENSGALG00000003958,PRMT3,987,952-1023,8
ENSGALG00000010214,JADE1,1578,1496-1660,4
ENSGALG00000014329,FOXJ2,382,352-413,18
ENSGALG00000013762,,382,352-413,18
ENSGALG00000021230,EPB42,382,352-413,18
ENSGALG00000009176,TTBK2,544,473-615,15
ENSGALG00000009111,HAUS2,680,676-684,13
ENSGALG00000043591,PLA2G4F,424,413-435,17
ENSGALG00000044307,,645,615-676,14
ENSGALG00000020458,,645,615-676,14
ENSGALG00000045796,,645,615-676,14
ENSGALG00000008727,,645,615-676,14
ENSGALG00000028402,,645,615-676,14
ENSGALG00000026584,,645,615-676,14
ENSGALG00000052873,MAPKBP1,424,413-435,17
ENSGALG00000008579,OIP5,424,413-435,17
ENSGALG00000040929,C15ORF62,332,312-352,19
ENSGALG00000029332,C5H15ORF57,645,615-676,14
ENSGALG00000014537,BMF,544,473-615,15
ENSGALG00000037723,,424,413-435,17
ENSGALG00000054258,,332,312-352,19
ENSGALG00000017208,AMOTL1,544,473-615,15
ENSGALG00000017205,ENDOD1,645,615-676,14
ENSGALG00000017204,SESN3,1064,1023-1105,7
ENSGALG00000017201,CEP57,987,952-1023,8
ENSGALG00000013489,CCDC82,680,676-684,13
ENSGALG00000015355,CD47,332,312-352,19
ENSGALG00000015362,TRAT1,332,312-352,19
ENSGALG00000000699,WWP2,424,413-435,17
ENSGALG00000002853,CFDP1,382,352-413,18
ENSGALG00000010177,ZFC3H1,987,952-1023,8
ENSGALG00000006049,STK26,544,473-615,15
ENSGALG00000030005,IGSF1,18,0-37,29
ENSGALG00000004063,SLC25A14,382,352-413,18
ENSGALG00000010402,HPGDS,987,952-1023,8
ENSGALG00000045875,PSCA,266,254-280,21
ENSGALG00000000115,HEP21,174,111-237,23
ENSGALG00000051312,,63,47-80,26
ENSGALG00000029572,TOP1MT,382,352-413,18
ENSGALG00000048190,,645,615-676,14
ENSGALG00000019211,MAEL,987,952-1023,8
ENSGALG00000040275,RCSD1,544,473-615,15
ENSGALG00000053309,,680,676-684,13
ENSGALG00000044541,,680,676-684,13
ENSGALG00000052413,,680,676-684,13
ENSGALG00000027296,CPA5,332,312-352,19
ENSGALG00000052684,,>4290,>4290,0
ENSGALG00000005254,CKLF,332,312-352,19
ENSGALG00000032349,CDH5,424,413-435,17
ENSGALG00000043908,,332,312-352,19
ENSGALG00000009491,RAD51B,645,615-676,14
ENSGALG00000009366,ASIC5,987,952-1023,8
ENSGALG00000020251,FNIP2,1064,1023-1105,7
ENSGALG00000003168,MTMR12,>4290,>4290,0
ENSGALG00000043964,SPINK4,104,98-111,24
ENSGALG00000001668,UBE2R2,645,615-676,14
ENSGALG00000048542,,645,615-676,14
ENSGALG00000005839,ARID3C,680,676-684,13
ENSGALG00000021353,,332,312-352,19
ENSGALG00000002383,CD72AG,332,312-352,19
ENSGALG00000005194,CD72,332,312-352,19
ENSGALG00000002523,CREB3,454,435-473,16
ENSGALG00000053028,,950,948-952,9
ENSGALG00000048179,,950,948-952,9
ENSGALG00000008282,ATG4A,1714,1660-1768,3
ENSGALG00000010537,CDKN2C,544,473-615,15
ENSGALG00000029023,DMRTB1,950,948-952,9
ENSGALG00000038608,HSPB11,382,352-413,18
ENSGALG00000020647,LDLRAD1,680,676-684,13
ENSGALG00000010758,,544,473-615,15
ENSGALG00000047419,,104,98-111,24
ENSGALG00000046692,,104,98-111,24
ENSGALG00000047246,,104,98-111,24
ENSGALG00000047476,,174,111-237,23
ENSGALG00000047127,,174,111-237,23
ENSGALG00000047324,,63,47-80,26
ENSGALG00000047429,,18,0-37,29
ENSGALG00000047420,,174,111-237,23
ENSGALG00000047404,,63,47-80,26
ENSGALG00000046999,,174,111-237,23
ENSGALG00000033213,,174,111-237,23
ENSGALG00000041483,,174,111-237,23
ENSGALG00000029144,,104,98-111,24
ENSGALG00000040622,,174,111-237,23
ENSGALG00000042032,,266,254-280,21
ENSGALG00000031901,EDBETA,174,111-237,23
ENSGALG00000030405,,245,237-254,22
ENSGALG00000047022,,174,111-237,23
ENSGALG00000034308,,174,111-237,23
ENSGALG00000047286,,266,254-280,21
ENSGALG00000046792,,174,111-237,23
ENSGALG00000047111,,266,254-280,21
ENSGALG00000054020,,174,111-237,23
ENSGALG00000053111,,174,111-237,23
ENSGALG00000048841,,174,111-237,23
ENSGALG00000051914,,174,111-237,23
ENSGALG00000048292,,174,111-237,23
ENSGALG00000053089,,174,111-237,23
ENSGALG00000051698,,174,111-237,23
ENSGALG00000049156,,174,111-237,23
ENSGALG00000053099,,174,111-237,23
ENSGALG00000053652,,174,111-237,23
ENSGALG00000053818,,174,111-237,23
ENSGALG00000051030,,174,111-237,23
ENSGALG00000049852,,174,111-237,23
ENSGALG00000049247,,174,111-237,23
ENSGALG00000054010,,174,111-237,23
ENSGALG00000049723,,174,111-237,23
ENSGALG00000052169,,174,111-237,23
ENSGALG00000051942,,174,111-237,23
ENSGALG00000048689,,174,111-237,23
ENSGALG00000051608,,174,111-237,23
ENSGALG00000051189,,63,47-80,26
ENSGALG00000051222,,18,0-37,29
ENSGALG00000050452,,18,0-37,29
ENSGALG00000048160,,18,0-37,29
ENSGALG00000050510,,104,98-111,24
ENSGALG00000048358,,104,98-111,24
ENSGALG00000047809,,104,98-111,24
ENSGALG00000048678,,104,98-111,24
ENSGALG00000051252,,104,98-111,24
ENSGALG00000047783,,104,98-111,24
ENSGALG00000050228,,104,98-111,24
ENSGALG00000051293,,104,98-111,24
ENSGALG00000052795,,104,98-111,24
ENSGALG00000052149,,104,98-111,24
ENSGALG00000047812,,104,98-111,24
ENSGALG00000050055,,174,111-237,23
ENSGALG00000050377,,174,111-237,23
ENSGALG00000052025,,63,47-80,26
ENSGALG00000051680,,18,0-37,29
ENSGALG00000049189,,174,111-237,23
ENSGALG00000051898,,174,111-237,23
ENSGALG00000049086,,174,111-237,23
ENSGALG00000052044,FK21,63,47-80,26
ENSGALG00000052418,,18,0-37,29
ENSGALG00000051095,,63,47-80,26
ENSGALG00000052341,,174,111-237,23
ENSGALG00000050610,FK21,63,47-80,26
ENSGALG00000048375,FK27,63,47-80,26
ENSGALG00000050142,FK21,63,47-80,26
ENSGALG00000051956,,63,47-80,26
ENSGALG00000051333,FK21,63,47-80,26
ENSGALG00000052078,FK21,63,47-80,26
ENSGALG00000053001,,18,0-37,29
ENSGALG00000052287,,63,47-80,26
ENSGALG00000048558,FK21,63,47-80,26
ENSGALG00000050877,,63,47-80,26
ENSGALG00000053129,,174,111-237,23
ENSGALG00000054001,,63,47-80,26
ENSGALG00000053981,,18,0-37,29
ENSGALG00000049685,,174,111-237,23
ENSGALG00000052680,,63,47-80,26
ENSGALG00000048324,,174,111-237,23
ENSGALG00000052180,,174,111-237,23
ENSGALG00000053010,,174,111-237,23
ENSGALG00000048696,,266,254-280,21
ENSGALG00000049044,,174,111-237,23
ENSGALG00000049659,,266,254-280,21
ENSGALG00000049449,,174,111-237,23
ENSGALG00000049213,,174,111-237,23
ENSGALG00000049037,,174,111-237,23
ENSGALG00000053813,,266,254-280,21
ENSGALG00000053983,,266,254-280,21
ENSGALG00000052035,,266,254-280,21
ENSGALG00000053096,,174,111-237,23
ENSGALG00000050271,,174,111-237,23
ENSGALG00000054186,,174,111-237,23
ENSGALG00000054161,,104,98-111,24
ENSGALG00000054066,,174,111-237,23
ENSGALG00000041371,,645,615-676,14
ENSGALG00000034413,PIAS4,680,676-684,13
ENSGALG00000001084,ATP8B3,>4290,>4290,0
ENSGALG00000000803,,89,80-98,25
ENSGALG00000000812,OAZ1,645,615-676,14
ENSGALG00000036346,AMH,544,473-615,15
ENSGALG00000000843,DOT1L,1488,1480-1496,5
ENSGALG00000033513,ELL,987,952-1023,8
ENSGALG00000003357,FKBP8,645,615-676,14
ENSGALG00000052268,SSBP4,44,42-47,27
ENSGALG00000021620,TMEM59L,645,615-676,14
ENSGALG00000026146,CRLF1,544,473-615,15
ENSGALG00000034918,,645,615-676,14
ENSGALG00000003035,FAM78B,680,676-684,13
ENSGALG00000005340,SLC35A3,1292,1105-1480,6
ENSGALG00000002922,NOTCH2,645,615-676,14
ENSGALG00000039704,SEC22B,645,615-676,14
ENSGALG00000004614,NPL,987,952-1023,8
ENSGALG00000004806,EDEM3,1578,1496-1660,4
ENSGALG00000020922,C1ORF21,454,435-473,16
ENSGALG00000038320,COLGALT2,987,952-1023,8
ENSGALG00000004728,RGL1,645,615-676,14
ENSGALG00000051148,,645,615-676,14
ENSGALG00000044632,,645,615-676,14
ENSGALG00000021972,PLIN4,645,615-676,14
ENSGALG00000002083,,645,615-676,14
ENSGALG00000054577,,987,952-1023,8
ENSGALG00000041564,,1578,1496-1660,4
ENSGALG00000050907,,18,0-37,29
ENSGALG00000014453,FAM46C,810,797-824,11
ENSGALG00000014794,GDAP2,950,948-952,9
ENSGALG00000014791,WDR3,>4290,>4290,0
ENSGALG00000014776,TBX15,987,952-1023,8
ENSGALG00000014772,WARS2,>4290,>4290,0
ENSGALG00000014766,HAO2,680,676-684,13
ENSGALG00000050866,HSD3B1,>4290,>4290,0
ENSGALG00000014997,PLA1A,645,615-676,14
ENSGALG00000014988,POPDC2,680,676-684,13
ENSGALG00000014981,COX17,950,948-952,9
ENSGALG00000017128,SKA3,544,473-615,15
ENSGALG00000053657,LATS2,1488,1480-1496,5
ENSGALG00000017132,XPO4,1714,1660-1768,3
ENSGALG00000017133,EEF1AKMT1,645,615-676,14
ENSGALG00000040007,IL17D,454,435-473,16
ENSGALG00000017134,IFT88,987,952-1023,8
ENSGALG00000017135,CRYL1,987,952-1023,8
ENSGALG00000017136,GJB6,645,615-676,14
ENSGALG00000022720,GJB2,645,615-676,14
ENSGALG00000017137,GJA3,645,615-676,14
ENSGALG00000017139,,645,615-676,14
ENSGALG00000043421,,645,615-676,14
ENSGALG00000017148,CENPJ,645,615-676,14
ENSGALG00000045414,,645,615-676,14
ENSGALG00000055067,,645,615-676,14
ENSGALG00000036566,,645,615-676,14
ENSGALG00000039391,ZC3H12B,544,473-615,15
ENSGALG00000016785,IL1RL1,454,435-473,16
ENSGALG00000030526,,645,615-676,14
ENSGALG00000043044,IL1R1,645,615-676,14
ENSGALG00000046326,IL1R2,454,435-473,16
ENSGALG00000016768,LONRF2,1578,1496-1660,4
ENSGALG00000050634,,18,0-37,29
ENSGALG00000031325,TGFB1,44,42-47,27
ENSGALG00000049393,,>4290,>4290,0
ENSGALG00000052330,,18,0-37,29
ENSGALG00000035131,,454,435-473,16
ENSGALG00000027989,SBDS,645,615-676,14
ENSGALG00000001110,,1714,1660-1768,3
ENSGALG00000001122,CALN1,1714,1660-1768,3
ENSGALG00000001130,GALNT17,987,952-1023,8
ENSGALG00000004957,RHBDD1,1714,1660-1768,3
ENSGALG00000050048,,63,47-80,26
ENSGALG00000009850,NOVA1,950,948-952,9
ENSGALG00000054536,,645,615-676,14
ENSGALG00000052747,,18,0-37,29
ENSGALG00000048991,,18,0-37,29
ENSGALG00000047019,,18,0-37,29
ENSGALG00000054033,,18,0-37,29
ENSGALG00000054320,,544,473-615,15
ENSGALG00000049505,,18,0-37,29
ENSGALG00000048152,SAE1,1578,1496-1660,4
ENSGALG00000047981,,18,0-37,29
ENSGALG00000052546,HIF3A,63,47-80,26
ENSGALG00000048646,,18,0-37,29
ENSGALG00000017181,DCUN1D5,680,676-684,13
ENSGALG00000054329,,18,0-37,29
ENSGALG00000048716,FBXL3,1934,1768-2101,2
ENSGALG00000016795,TGFBRAP1,1714,1660-1768,3
ENSGALG00000016830,CUL4A,987,952-1023,8
ENSGALG00000037697,LAMP1,680,676-684,13
ENSGALG00000016828,GRTP1,645,615-676,14
ENSGALG00000016826,,18,0-37,29
ENSGALG00000029145,DCUN1D2,987,952-1023,8
ENSGALG00000016824,TMCO3,680,676-684,13
ENSGALG00000016822,ATP4B,950,948-952,9
ENSGALG00000015409,PROS1,645,615-676,14
ENSGALG00000016817,RASA3,680,676-684,13
ENSGALG00000016865,TPP2,>4290,>4290,0
ENSGALG00000016864,METTL21C,680,676-684,13
ENSGALG00000016859,,680,676-684,13
ENSGALG00000000441,KCNA10,544,473-615,15
ENSGALG00000000504,ETV7,645,615-676,14
ENSGALG00000000102,UBE2T,1934,1768-2101,2
ENSGALG00000000568,LGR6,645,615-676,14
ENSGALG00000001462,ADORA3,454,435-473,16
ENSGALG00000043513,TEAD3,544,473-615,15
ENSGALG00000000299,PKP1,987,952-1023,8
ENSGALG00000000302,TNNT2,810,797-824,11
ENSGALG00000000313,TNNI1,645,615-676,14
ENSGALG00000019802,PHLDA3,680,676-684,13
ENSGALG00000000318,CSRP1,645,615-676,14
ENSGALG00000037370,NAV1,950,948-952,9
ENSGALG00000000164,MYBPHL,950,948-952,9
ENSGALG00000003226,APOBEC2,544,473-615,15
ENSGALG00000048205,,63,47-80,26
ENSGALG00000034196,WNT2B,950,948-952,9
ENSGALG00000026585,TAFA3,645,615-676,14
ENSGALG00000035850,CSAD,1714,1660-1768,3
ENSGALG00000033246,ZNF740,454,435-473,16
ENSGALG00000043336,COPZ1,18,0-37,29
ENSGALG00000051041,NFE2,18,0-37,29
ENSGALG00000036856,CBX5,544,473-615,15
ENSGALG00000035539,HOXC4,645,615-676,14
ENSGALG00000030416,,544,473-615,15
ENSGALG00000039051,HOXC6,544,473-615,15
ENSGALG00000037262,HOXC8,544,473-615,15
ENSGALG00000029439,HOXC9,645,615-676,14
ENSGALG00000029393,HOXC10,645,615-676,14
ENSGALG00000050755,HOXC11,645,615-676,14
ENSGALG00000033272,HOXC12,544,473-615,15
ENSGALG00000036082,HOXC13,544,473-615,15
ENSGALG00000033404,RARG,810,797-824,11
ENSGALG00000033927,MFSD5,>4290,>4290,0
ENSGALG00000031615,FAIM2,950,948-952,9
ENSGALG00000034421,SENP1,645,615-676,14
ENSGALG00000038757,RBMS2,>4290,>4290,0
ENSGALG00000030904,LRP1,645,615-676,14
ENSGALG00000055075,FMNL3,1714,1660-1768,3
ENSGALG00000053250,ESYT1,18,0-37,29
ENSGALG00000033510,ERBB3,987,952-1023,8
ENSGALG00000048165,,1934,1768-2101,2
ENSGALG00000043009,WNT1,886,824-948,10
ENSGALG00000035734,IKZF4,645,615-676,14
ENSGALG00000049231,DNAJC22,544,473-615,15
ENSGALG00000037665,LMBR1L,680,676-684,13
ENSGALG00000011347,IHH,886,824-948,10
ENSGALG00000031702,KMT2D,>4290,>4290,0
ENSGALG00000029599,ACVR1B,987,952-1023,8
ENSGALG00000035635,ACVRL1,39,37-42,28
ENSGALG00000052464,ANKRD33,645,615-676,14
ENSGALG00000046448,ZNF385A,18,0-37,29
ENSGALG00000037678,,454,435-473,16
ENSGALG00000034306,NEUROD4,454,435-473,16
ENSGALG00000035086,,18,0-37,29
ENSGALG00000054973,C1QL4,454,435-473,16
ENSGALG00000000226,TMEM9,810,797-824,11
ENSGALG00000037744,CACNA1S,645,615-676,14
ENSGALG00000047446,,18,0-37,29
ENSGALG00000051347,,18,0-37,29
ENSGALG00000041676,NAA10,>4290,>4290,0
ENSGALG00000050760,ADCY6,987,952-1023,8
ENSGALG00000050887,CACNB3,950,948-952,9
ENSGALG00000037925,RND1,544,473-615,15
ENSGALG00000036837,PTGES3,>4290,>4290,0
ENSGALG00000042119,MIP,645,615-676,14
ENSGALG00000048759,,39,37-42,28
ENSGALG00000051500,,18,0-37,29
ENSGALG00000033339,FIGNL2,544,473-615,15
ENSGALG00000043728,SCN8A,544,473-615,15
ENSGALG00000036550,,382,352-413,18
ENSGALG00000034965,DIP2B,1292,1105-1480,6
ENSGALG00000039134,,1292,1105-1480,6
ENSGALG00000037396,ASB8,987,952-1023,8
ENSGALG00000042122,LARP4,950,948-952,9
ENSGALG00000033271,PFKM,>4290,>4290,0
ENSGALG00000002615,DEF6,680,676-684,13
ENSGALG00000002588,PPARD,810,797-824,11
ENSGALG00000002561,,645,615-676,14
ENSGALG00000002644,RPL10A,987,952-1023,8
ENSGALG00000046261,,174,111-237,23
ENSGALG00000044612,INAVA,645,615-676,14
ENSGALG00000030941,KIAA1324,950,948-952,9
ENSGALG00000042833,MAPK14,645,615-676,14
ENSGALG00000006544,,>4290,>4290,0
ENSGALG00000052318,,18,0-37,29
ENSGALG00000039170,LHFPL5,454,435-473,16
ENSGALG00000000168,ADORA1,950,948-952,9
ENSGALG00000006992,MMP9,544,473-615,15
ENSGALG00000041370,ZNF335,645,615-676,14
ENSGALG00000000437,PGA3,454,435-473,16
ENSGALG00000007785,PROK2,454,435-473,16
ENSGALG00000047297,PROK1,645,615-676,14
ENSGALG00000000419,LAMTOR5,680,676-684,13
ENSGALG00000000417,SLC16A4,950,948-952,9
