"","gene_name","longest_transcript"
"93","ENSMUSG00000076826.5","ENSMUST00000103637.5"
"94","ENSMUSG00000094220.5","ENSMUST00000180549.2"
"95","ENSMUSG00000096908.3","ENSMUST00000177622.3"
"96","ENSMUSG00000094468.5","ENSMUST00000180711.2"
"97","ENSMUSG00000094766.3","ENSMUST00000181728.2"
"98","ENSMUSG00000076831.3","ENSMUST00000103643.3"
"99","ENSMUSG00000096900.3","ENSMUST00000103581.5"
"100","ENSMUSG00000096149.5","ENSMUST00000181210.2"
"101","ENSMUSG00000096551.2","ENSMUST00000103583.4"
"102","ENSMUSG00000095862.1","ENSMUST00000103584.3"
"103","ENSMUSG00000096615.1","ENSMUST00000103585.3"
"104","ENSMUSG00000106620.1","ENSMUST00000200609.1"
"105","ENSMUSG00000096825.2","ENSMUST00000200115.1"
"106","ENSMUSG00000076839.3","ENSMUST00000103651.3"
"107","ENSMUSG00000076840.4","ENSMUST00000198297.1"
"108","ENSMUSG00000094016.2","ENSMUST00000200101.1"
"109","ENSMUSG00000094966.2","ENSMUST00000103654.2"
"110","ENSMUSG00000093966.2","ENSMUST00000103655.2"
"111","ENSMUSG00000096656.6","ENSMUST00000180972.2"
"112","ENSMUSG00000095958.3","ENSMUST00000103657.5"
"113","ENSMUSG00000076846.3","ENSMUST00000103658.3"
"114","ENSMUSG00000095711.5","ENSMUST00000179267.3"
"115","ENSMUSG00000076848.3","ENSMUST00000103660.3"
"116","ENSMUSG00000094828.5","ENSMUST00000181768.2"
"117","ENSMUSG00000096678.3","ENSMUST00000103662.5"
"118","ENSMUSG00000096096.3","ENSMUST00000103663.5"
"119","ENSMUSG00000095607.3","ENSMUST00000103664.5"
"120","ENSMUSG00000095126.3","ENSMUST00000103638.5"
"121","ENSMUSG00000096138.5","ENSMUST00000103641.5"
"122","ENSMUSG00000076855.5","ENSMUST00000103667.5"
"123","ENSMUSG00000094562.5","ENSMUST00000180380.2"
"124","ENSMUSG00000094212.3","ENSMUST00000103589.5"
"125","ENSMUSG00000076858.3","ENSMUST00000103670.3"
"126","ENSMUSG00000087666.3","ENSMUST00000103671.3"
"127","ENSMUSG00000096397.7","ENSMUST00000103672.8"
"128","ENSMUSG00000076861.10","ENSMUST00000103673.10"
"129","ENSMUSG00000076862.5","ENSMUST00000103674.5"
"130","ENSMUSG00000076863.8","ENSMUST00000180938.2"
"131","ENSMUSG00000076864.9","ENSMUST00000103676.8"
"132","ENSMUSG00000076865.6","ENSMUST00000197130.4"
"133","ENSMUSG00000076866.3","ENSMUST00000103678.3"
"134","ENSMUSG00000106289.1","ENSMUST00000199137.1"
"135","ENSMUSG00000076867.2","ENSMUST00000103679.2"
"136","ENSMUSG00000076873.2","ENSMUST00000103685.2"
"137","ENSMUSG00000076461.2","ENSMUST00000103262.2"
"138","ENSMUSG00000076462.2","ENSMUST00000103263.2"
"139","ENSMUSG00000076463.2","ENSMUST00000103264.2"
"140","ENSMUSG00000076465.2","ENSMUST00000103266.2"
"141","ENSMUSG00000107486.1","ENSMUST00000103265.4"
"142","ENSMUSG00000095574.2","ENSMUST00000103267.2"
"143","ENSMUSG00000076467.3","ENSMUST00000194399.1"
"144","ENSMUSG00000094525.2","ENSMUST00000103269.2"
"145","ENSMUSG00000076469.3","ENSMUST00000103270.3"
"146","ENSMUSG00000076470.1","ENSMUST00000103271.1"
"147","ENSMUSG00000076471.3","ENSMUST00000103272.3"
"148","ENSMUSG00000076472.2","ENSMUST00000103273.2"
"149","ENSMUSG00000076473.3","ENSMUST00000103274.3"
"150","ENSMUSG00000076474.3","ENSMUST00000103275.3"
"151","ENSMUSG00000076475.2","ENSMUST00000103276.2"
"152","ENSMUSG00000076476.1","ENSMUST00000103277.1"
"153","ENSMUSG00000076477.3","ENSMUST00000195087.1"
"154","ENSMUSG00000076478.7","ENSMUST00000193997.5"
"155","ENSMUSG00000076479.3","ENSMUST00000193064.1"
"156","ENSMUSG00000076480.2","ENSMUST00000103281.2"
"157","ENSMUSG00000076481.7","ENSMUST00000191646.5"
"158","ENSMUSG00000076758.6","ENSMUST00000103567.5"
"159","ENSMUSG00000076759.3","ENSMUST00000196939.1"
"160","ENSMUSG00000076760.2","ENSMUST00000103569.2"
"161","ENSMUSG00000076761.1","ENSMUST00000103570.1"
"162","ENSMUSG00000076762.1","ENSMUST00000103571.1"
"163","ENSMUSG00000104620.1","ENSMUST00000198019.1"
"164","ENSMUSG00000076764.3","ENSMUST00000198058.1"
"165","ENSMUSG00000105533.1","ENSMUST00000200127.1"
"166","ENSMUSG00000096600.5","ENSMUST00000181483.2"
"167","ENSMUSG00000076499.3","ENSMUST00000193003.1"
"168","ENSMUSG00000073406.10","ENSMUST00000173080.9"
"169","ENSMUSG00000118516.1","ENSMUST00000239057.1"
"170","ENSMUSG00000046590.3","ENSMUST00000117860.1"
"171","ENSMUSG00000079491.9","ENSMUST00000166442.2"
"172","ENSMUSG00000080891.4","ENSMUST00000118378.1"
"173","ENSMUSG00000091950.3","ENSMUST00000179386.1"
"174","ENSMUSG00000075126.4","ENSMUST00000117982.1"
"175","ENSMUSG00000046203.11","ENSMUST00000189634.6"
"176","ENSMUSG00000069824.5","ENSMUST00000134011.3"
"177","ENSMUSG00000084387.4","ENSMUST00000117349.7"
"178","ENSMUSG00000061246.6","ENSMUST00000134773.3"
"179","ENSMUSG00000080781.3","ENSMUST00000118336.3"
"180","ENSMUSG00000097993.7","ENSMUST00000183317.7"
"181","ENSMUSG00000080751.1","ENSMUST00000119267.1"
"182","ENSMUSG00000092300.7","ENSMUST00000174177.1"
"183","ENSMUSG00000109389.1","ENSMUST00000208175.1"
"184","ENSMUSG00000000386.16","ENSMUST00000023655.12"
"185","ENSMUSG00000090556.5","ENSMUST00000208970.2"
"186","ENSMUSG00000075067.4","ENSMUST00000118957.1"
"187","ENSMUSG00000082574.3","ENSMUST00000117787.3"
"188","ENSMUSG00000080809.3","ENSMUST00000214356.2"
"189","ENSMUSG00000092212.3","ENSMUST00000173185.1"
"190","ENSMUSG00000068824.4","ENSMUST00000117704.1"
"191","ENSMUSG00000036322.11","ENSMUST00000134042.2"
"192","ENSMUSG00000108605.2","ENSMUST00000143750.3"
"193","ENSMUSG00000079875.5","ENSMUST00000115991.3"
"194","ENSMUSG00000079293.11","ENSMUST00000195589.5"
"195","ENSMUSG00000083188.2","ENSMUST00000121065.2"
"196","ENSMUSG00000041750.13","ENSMUST00000194208.5"
"197","ENSMUSG00000023341.15","ENSMUST00000188251.6"
"198","ENSMUSG00000083886.2","ENSMUST00000118809.2"
"199","ENSMUSG00000055413.12","ENSMUST00000172979.3"
"200","ENSMUSG00000111190.2","ENSMUST00000214075.2"
"201","ENSMUSG00000110780.1","ENSMUST00000215546.1"
"202","ENSMUSG00000089732.5","ENSMUST00000118736.3"
"203","ENSMUSG00000058908.14","ENSMUST00000135748.1"
"204","ENSMUSG00000006395.16","ENSMUST00000194248.1"
"205","ENSMUSG00000092572.7","ENSMUST00000194951.1"
"206","ENSMUSG00000110122.1","ENSMUST00000210779.1"
"207","ENSMUSG00000111678.2","ENSMUST00000213225.2"
"208","ENSMUSG00000095194.2","ENSMUST00000216912.1"
"209","ENSMUSG00000092021.8","ENSMUST00000100960.10"
"210","ENSMUSG00000106893.1","ENSMUST00000202355.1"
"211","ENSMUSG00000081665.2","ENSMUST00000118068.2"
"212","ENSMUSG00000092517.1","ENSMUST00000173420.1"
"213","ENSMUSG00000098947.2","ENSMUST00000183378.2"
"214","ENSMUSG00000111338.1","ENSMUST00000117959.2"
"215","ENSMUSG00000029605.16","ENSMUST00000183291.1"
"216","ENSMUSG00000108058.1","ENSMUST00000205127.1"
"217","ENSMUSG00000092401.3","ENSMUST00000174262.3"
"218","ENSMUSG00000092372.3","ENSMUST00000173904.3"
"219","ENSMUSG00000043089.6","ENSMUST00000217651.1"
"220","ENSMUSG00000044061.7","ENSMUST00000055276.5"
"221","ENSMUSG00000110204.1","ENSMUST00000094105.4"
"222","ENSMUSG00000109148.1","ENSMUST00000208396.1"
"223","ENSMUSG00000109100.1","ENSMUST00000208760.1"
"224","ENSMUSG00000109544.2","ENSMUST00000207287.2"
"225","ENSMUSG00000091967.5","ENSMUST00000175971.2"
"226","ENSMUSG00000082216.4","ENSMUST00000121614.1"
"227","ENSMUSG00000093533.3","ENSMUST00000177481.3"
"228","ENSMUSG00000113163.1","ENSMUST00000223545.1"
"229","ENSMUSG00000081859.3","ENSMUST00000121432.3"
"230","ENSMUSG00000111660.1","ENSMUST00000217577.1"
"231","ENSMUSG00000110555.1","ENSMUST00000213073.1"
"232","ENSMUSG00000110092.2","ENSMUST00000209871.2"
"233","ENSMUSG00000111073.1","ENSMUST00000217438.1"
"234","ENSMUSG00000071573.14","ENSMUST00000096114.12"
"235","ENSMUSG00000060183.6","ENSMUST00000122808.1"
"236","ENSMUSG00000110526.2","ENSMUST00000211893.1"
"237","ENSMUSG00000109806.1","ENSMUST00000209914.1"
"238","ENSMUSG00000051885.6","ENSMUST00000072887.4"
"239","ENSMUSG00000044537.8","ENSMUST00000222301.1"
"240","ENSMUSG00000110431.1","ENSMUST00000211998.1"
"241","ENSMUSG00000110881.1","ENSMUST00000213589.1"
"242","ENSMUSG00000059768.7","ENSMUST00000071242.4"
"243","ENSMUSG00000110991.1","ENSMUST00000215139.1"
"244","ENSMUSG00000057444.3","ENSMUST00000215191.1"
"245","ENSMUSG00000111700.1","ENSMUST00000215291.1"
"246","ENSMUSG00000111566.1","ENSMUST00000121340.1"
"247","ENSMUSG00000110879.2","ENSMUST00000216831.2"
"248","ENSMUSG00000067882.14","ENSMUST00000182769.9"
"249","ENSMUSG00000082754.2","ENSMUST00000121914.2"
"250","ENSMUSG00000006638.15","ENSMUST00000201125.3"
"251","ENSMUSG00000108464.5","ENSMUST00000206214.2"
"252","ENSMUSG00000109020.3","ENSMUST00000207772.2"
"253","ENSMUSG00000050577.8","ENSMUST00000216665.2"
"254","ENSMUSG00000046808.17","ENSMUST00000126664.7"
"255","ENSMUSG00000103081.2","ENSMUST00000195764.1"
"256","ENSMUSG00000076749.2","ENSMUST00000103558.2"
"257","ENSMUSG00000091682.2","ENSMUST00000164407.1"
"258","ENSMUSG00000076752.2","ENSMUST00000103561.2"
"259","ENSMUSG00000076757.9","ENSMUST00000179181.2"
"260","ENSMUSG00000104876.1","ENSMUST00000196323.1"
"261","ENSMUSG00000076928.5","ENSMUST00000198398.4"
"262","ENSMUSG00000076490.6","ENSMUST00000192856.5"
"263","ENSMUSG00000076498.2","ENSMUST00000103299.2"
"264","ENSMUSG00000076618.1","ENSMUST00000103427.1"
"265","ENSMUSG00000076619.1","ENSMUST00000103428.1"
"266","ENSMUSG00000076620.2","ENSMUST00000192746.1"
"267","ENSMUSG00000076621.1","ENSMUST00000103430.1"
"268","ENSMUSG00000076607.1","ENSMUST00000103408.1"
"269","ENSMUSG00000076608.2","ENSMUST00000199459.1"
"270","ENSMUSG00000076605.2","ENSMUST00000198234.1"
"271","ENSMUSG00000076606.3","ENSMUST00000199487.1"
"272","ENSMUSG00000076604.1","ENSMUST00000103405.1"
"273","ENSMUSG00000106668.1","ENSMUST00000199490.1"
"274","ENSMUSG00000105231.1","ENSMUST00000200211.1"
"275","ENSMUSG00000106405.1","ENSMUST00000200074.1"
"276","ENSMUSG00000105066.1","ENSMUST00000198313.1"
"277","ENSMUSG00000104975.1","ENSMUST00000197969.1"
"278","ENSMUSG00000095079.6","ENSMUST00000194738.5"
"279","ENSMUSG00000087642.3","ENSMUST00000223335.1"
"280","ENSMUSG00000076612.8","ENSMUST00000103416.8"
"281","ENSMUSG00000076613.4","ENSMUST00000192188.2"
"282","ENSMUSG00000076614.7","ENSMUST00000194304.5"
"283","ENSMUSG00000076615.4","ENSMUST00000223179.1"
"284","ENSMUSG00000104213.5","ENSMUST00000194162.5"
"285","ENSMUSG00000076617.9","ENSMUST00000177715.7"
"286","ENSMUSG00000076609.2","ENSMUST00000103410.2"
"287","ENSMUSG00000105547.1","ENSMUST00000200235.1"
"288","ENSMUSG00000105906.1","ENSMUST00000200568.1"
"289","ENSMUSG00000106039.1","ENSMUST00000197046.1"
"290","ENSMUSG00000076937.3","ENSMUST00000198182.1"
"291","ENSMUSG00000094194.2","ENSMUST00000193652.1"
"292","ENSMUSG00000095571.2","ENSMUST00000103459.4"
"293","ENSMUSG00000096638.2","ENSMUST00000103451.4"
"294","ENSMUSG00000076665.4","ENSMUST00000103474.4"
"295","ENSMUSG00000076653.4","ENSMUST00000193133.2"
"296","ENSMUSG00000094509.1","ENSMUST00000103463.2"
"297","ENSMUSG00000076655.2","ENSMUST00000103464.2"
"298","ENSMUSG00000093838.1","ENSMUST00000103478.3"
"299","ENSMUSG00000094533.1","ENSMUST00000103466.1"
"300","ENSMUSG00000095583.1","ENSMUST00000103467.1"
"301","ENSMUSG00000096108.2","ENSMUST00000103468.2"
"302","ENSMUSG00000095642.3","ENSMUST00000103469.3"
"303","ENSMUSG00000076661.2","ENSMUST00000195641.1"
"304","ENSMUSG00000096805.2","ENSMUST00000195884.1"
"305","ENSMUSG00000094102.1","ENSMUST00000103472.3"
"306","ENSMUSG00000096459.1","ENSMUST00000103473.1"
"307","ENSMUSG00000076652.4","ENSMUST00000103461.4"
"308","ENSMUSG00000076666.2","ENSMUST00000195706.1"
"309","ENSMUSG00000094029.2","ENSMUST00000191693.1"
"310","ENSMUSG00000076668.4","ENSMUST00000192499.2"
"311","ENSMUSG00000103939.1","ENSMUST00000193408.1"
"312","ENSMUSG00000076670.4","ENSMUST00000195619.1"
"313","ENSMUSG00000076672.7","ENSMUST00000195124.5"
"314","ENSMUSG00000094322.2","ENSMUST00000194159.1"
"315","ENSMUSG00000076674.2","ENSMUST00000103483.2"
"316","ENSMUSG00000076671.5","ENSMUST00000125484.2"
"317","ENSMUSG00000076676.2","ENSMUST00000103485.2"
"318","ENSMUSG00000076677.1","ENSMUST00000103486.1"
"319","ENSMUSG00000094174.2","ENSMUST00000191918.1"
"320","ENSMUSG00000096407.2","ENSMUST00000193936.1"
"321","ENSMUSG00000076680.1","ENSMUST00000103489.1"
"322","ENSMUSG00000087582.6","ENSMUST00000193397.1"
"323","ENSMUSG00000102301.1","ENSMUST00000195037.1"
"324","ENSMUSG00000095981.1","ENSMUST00000103492.1"
"325","ENSMUSG00000095442.1","ENSMUST00000103493.2"
"326","ENSMUSG00000096499.2","ENSMUST00000191803.1"
"327","ENSMUSG00000095700.2","ENSMUST00000103495.2"
"328","ENSMUSG00000095200.2","ENSMUST00000103496.3"
"329","ENSMUSG00000076688.2","ENSMUST00000195337.1"
"330","ENSMUSG00000094694.6","ENSMUST00000193893.5"
"331","ENSMUSG00000102888.1","ENSMUST00000191801.1"
"332","ENSMUSG00000095416.6","ENSMUST00000195469.5"
"333","ENSMUSG00000103254.1","ENSMUST00000192077.1"
"334","ENSMUSG00000095554.2","ENSMUST00000103501.2"
"335","ENSMUSG00000076695.7","ENSMUST00000194350.5"
"336","ENSMUSG00000096410.2","ENSMUST00000193855.1"
"337","ENSMUSG00000095761.6","ENSMUST00000194968.5"
"338","ENSMUSG00000094561.1","ENSMUST00000103507.1"
"339","ENSMUSG00000103290.1","ENSMUST00000194625.1"
"340","ENSMUSG00000094241.2","ENSMUST00000191861.1"
"341","ENSMUSG00000094546.1","ENSMUST00000103510.1"
"342","ENSMUSG00000096649.2","ENSMUST00000195735.1"
"343","ENSMUSG00000093955.2","ENSMUST00000103512.2"
"344","ENSMUSG00000094051.6","ENSMUST00000191862.5"
"345","ENSMUSG00000095923.6","ENSMUST00000193950.5"
"346","ENSMUSG00000095130.1","ENSMUST00000103515.1"
"347","ENSMUSG00000094652.2","ENSMUST00000191868.1"
"348","ENSMUSG00000095859.2","ENSMUST00000195417.1"
"349","ENSMUSG00000076709.2","ENSMUST00000194865.1"
"350","ENSMUSG00000096355.2","ENSMUST00000192298.1"
"351","ENSMUSG00000076710.2","ENSMUST00000192724.1"
"352","ENSMUSG00000102364.1","ENSMUST00000194257.1"
"353","ENSMUSG00000094198.2","ENSMUST00000103521.2"
"354","ENSMUSG00000095204.6","ENSMUST00000192554.5"
"355","ENSMUSG00000093894.1","ENSMUST00000103523.1"
"356","ENSMUSG00000094505.2","ENSMUST00000193145.1"
"357","ENSMUSG00000094787.2","ENSMUST00000103525.2"
"358","ENSMUSG00000095589.2","ENSMUST00000103526.2"
"359","ENSMUSG00000094862.2","ENSMUST00000194071.1"
"360","ENSMUSG00000104452.1","ENSMUST00000192591.1"
"361","ENSMUSG00000095889.1","ENSMUST00000103529.3"
"362","ENSMUSG00000095197.6","ENSMUST00000195359.5"
"363","ENSMUSG00000094087.1","ENSMUST00000103531.3"
"364","ENSMUSG00000102313.1","ENSMUST00000103503.3"
"365","ENSMUSG00000096078.2","ENSMUST00000194581.1"
"366","ENSMUSG00000096767.2","ENSMUST00000103532.2"
"367","ENSMUSG00000095117.2","ENSMUST00000197803.1"
"368","ENSMUSG00000096672.1","ENSMUST00000103534.1"
"369","ENSMUSG00000094088.2","ENSMUST00000103535.2"
"370","ENSMUSG00000095170.2","ENSMUST00000103536.3"
"371","ENSMUSG00000095519.2","ENSMUST00000103537.2"
"372","ENSMUSG00000095863.2","ENSMUST00000198646.1"
"373","ENSMUSG00000094502.5","ENSMUST00000199933.4"
"374","ENSMUSG00000076731.3","ENSMUST00000199266.1"
"375","ENSMUSG00000096577.2","ENSMUST00000196690.1"
"376","ENSMUSG00000096074.2","ENSMUST00000103541.2"
"377","ENSMUSG00000076733.2","ENSMUST00000103542.1"
"378","ENSMUSG00000094124.5","ENSMUST00000196587.4"
"379","ENSMUSG00000096020.2","ENSMUST00000103544.2"
"380","ENSMUSG00000093896.2","ENSMUST00000197537.1"
"381","ENSMUSG00000096452.2","ENSMUST00000198777.1"
"382","ENSMUSG00000096326.2","ENSMUST00000199373.1"
"383","ENSMUSG00000094075.1","ENSMUST00000103547.1"
"384","ENSMUSG00000094689.1","ENSMUST00000103548.2"
"385","ENSMUSG00000095127.2","ENSMUST00000196991.1"
"386","ENSMUSG00000094940.1","ENSMUST00000103551.1"
"387","ENSMUSG00000096150.1","ENSMUST00000103552.1"
"388","ENSMUSG00000094134.2","ENSMUST00000192877.1"
"389","ENSMUSG00000076633.7","ENSMUST00000195468.5"
"390","ENSMUSG00000096464.2","ENSMUST00000103443.2"
"391","ENSMUSG00000095612.2","ENSMUST00000103444.2"
"392","ENSMUSG00000094164.2","ENSMUST00000178229.2"
"393","ENSMUSG00000094951.1","ENSMUST00000103446.1"
"394","ENSMUSG00000095866.1","ENSMUST00000103447.1"
"395","ENSMUSG00000095285.2","ENSMUST00000103448.2"
"396","ENSMUSG00000096498.3","ENSMUST00000195707.2"
"397","ENSMUSG00000095429.1","ENSMUST00000103450.3"
"398","ENSMUSG00000096670.1","ENSMUST00000179657.1"
"399","ENSMUSG00000095210.2","ENSMUST00000192264.1"
"400","ENSMUSG00000103033.1","ENSMUST00000195381.1"
"401","ENSMUSG00000095565.2","ENSMUST00000180013.2"
"402","ENSMUSG00000076646.3","ENSMUST00000192911.1"
"403","ENSMUSG00000096824.2","ENSMUST00000103456.3"
"404","ENSMUSG00000076501.2","ENSMUST00000103302.2"
"405","ENSMUSG00000096336.2","ENSMUST00000103303.2"
"406","ENSMUSG00000094491.2","ENSMUST00000103304.2"
"407","ENSMUSG00000096580.1","ENSMUST00000103305.1"
"408","ENSMUSG00000076505.1","ENSMUST00000103306.1"
"409","ENSMUSG00000096461.5","ENSMUST00000196006.4"
"410","ENSMUSG00000093906.5","ENSMUST00000200578.4"
"411","ENSMUSG00000076508.3","ENSMUST00000200586.1"
"412","ENSMUSG00000094345.2","ENSMUST00000103310.2"
"413","ENSMUSG00000095737.5","ENSMUST00000197406.4"
"414","ENSMUSG00000096632.2","ENSMUST00000196768.1"
"415","ENSMUSG00000076512.2","ENSMUST00000103313.2"
"416","ENSMUSG00000095497.2","ENSMUST00000103314.2"
"417","ENSMUSG00000076514.3","ENSMUST00000197515.1"
"418","ENSMUSG00000094872.1","ENSMUST00000103316.1"
"419","ENSMUSG00000094335.2","ENSMUST00000103317.2"
"420","ENSMUSG00000076518.6","ENSMUST00000103318.5"
"421","ENSMUSG00000095771.2","ENSMUST00000103320.2"
"422","ENSMUSG00000093861.2","ENSMUST00000103321.2"
"423","ENSMUSG00000105606.1","ENSMUST00000103322.2"
"424","ENSMUSG00000076522.2","ENSMUST00000103323.2"
"425","ENSMUSG00000076523.2","ENSMUST00000103324.2"
"426","ENSMUSG00000106403.1","ENSMUST00000200406.1"
"427","ENSMUSG00000096515.5","ENSMUST00000199510.4"
"428","ENSMUSG00000076525.3","ENSMUST00000168090.2"
"429","ENSMUSG00000076526.6","ENSMUST00000196839.4"
"430","ENSMUSG00000094420.2","ENSMUST00000103328.2"
"431","ENSMUSG00000094902.2","ENSMUST00000198735.1"
"432","ENSMUSG00000096490.1","ENSMUST00000103330.1"
"433","ENSMUSG00000098814.2","ENSMUST00000196863.1"
"434","ENSMUSG00000076531.1","ENSMUST00000103332.1"
"435","ENSMUSG00000076532.3","ENSMUST00000103333.3"
"436","ENSMUSG00000076533.3","ENSMUST00000103334.3"
"437","ENSMUSG00000076534.6","ENSMUST00000199143.4"
"438","ENSMUSG00000076535.1","ENSMUST00000103336.1"
"439","ENSMUSG00000105630.1","ENSMUST00000198756.1"
"440","ENSMUSG00000076536.3","ENSMUST00000200454.1"
"441","ENSMUSG00000079543.3","ENSMUST00000114212.3"
"442","ENSMUSG00000076538.1","ENSMUST00000103339.1"
"443","ENSMUSG00000076539.3","ENSMUST00000197966.1"
"444","ENSMUSG00000076540.3","ENSMUST00000103341.3"
"445","ENSMUSG00000076541.3","ENSMUST00000103342.3"
"446","ENSMUSG00000094315.2","ENSMUST00000103343.3"
"447","ENSMUSG00000076543.2","ENSMUST00000103344.2"
"448","ENSMUSG00000076545.2","ENSMUST00000103346.2"
"449","ENSMUSG00000073028.4","ENSMUST00000196201.1"
"450","ENSMUSG00000076547.2","ENSMUST00000103348.2"
